"","titre","resume","mots.clefs","mots.clefs_nb","auteurs","Auteurs_sexes","auteurs_nb","Annee","Volume","Numero","Periode","rubrique_net1","ident","rubrique_net","auteurs_nbs","langue"
"221","les enquêtes par internet en sciences sociales : un état des lieux","Les enquêtes en sciences sociales réalisées par Internet ont proliféré durant la dernière décennie, particulièrement dans le domaine de la recherche quantitative. L’intérêt que cette méthode suscite a produit une littérature presque totalement issue du monde anglo-saxon. Il semblait donc indispensable que les débats autour de l’enquête par Internet puissent devenir accessibles au lecteur francophone. À partir d’une revue de la littérature existante, l’article offre un relevé exhaustif des questions soulevées par cette méthode, qui sont de deux types : les problèmes liés aux procédures d’échantillonnage (qui répond aux enquêtes par Internet ?), et ceux concernant l’effet de « mode » généré par ce canal d’enquête (quelle est la qualité des réponses produites ?). Au-delà de quelques éléments de consensus, les analyses des chercheurs sont loin d’être concordantes. Si beaucoup s’accordent pour signaler que l’échantillonnage aléatoire est très difficile à réaliser sur Internet, l’efficacité des procédures de rectification d’échantillon (pondération, poststratification, pondération par l’inverse de la propension à être inclus dans l’échantillon) est fortement discutée. De même, lorsqu’il s’agit de tirer parti des nouvelles possibilités techniques en termes de conception du questionnaire, les recherches démontrant des effets réels reproductibles sont encore peu nombreuses. L’article, qui propose également un relevé de bonnes pratiques, conclut sur les indispensables précautions à prendre lorsqu’est créée une enquête par Internet dans une perspective de recherche en sciences sociales.","",0,"Didier Frippiat; Nicolas Marquis","HommeS",2,2010,65,2,"(2000,2010]","article",401,"article","2","fr"
"222","la transition de la fécondité en inde entre 1977 et 2004","Cette note de recherche présente un point de vue original sur la transition de la fécondité en Inde par l’analyse des probabilités d’agrandissement du moment. L’évolution de la fécondité par rang de naissance est étudiée de 1977 à 2004 à partir d’environ 300 000 histoires génésiques recueillies lors de trois enquêtes représentatives au niveau national (National Family Health Survey, NFHS) réalisées en 1992-1993, 1998-1999 et 2005-2006. La baisse de la fécondité indienne au cours des vingt-cinq dernières années est essentiellement imputable à la réduction du nombre des naissances de rang 3 et plus, indiquant que le modèle de la famille de deux enfants commence à se diffuser dans le pays. Afin d’évaluer cette méthode, on compare les parités finales moyennes, indicateurs synthétiques calculés à partir des probabilités d’agrandissement du moment, avec l’indicateur synthétique de fécondité calculé à partir du Sample Registration System (SRS). Les résultats fournissent des évaluations pour les niveaux et les tendances de la fécondité tout à fait cohérentes avec les estimations traditionnelles ; les probabilités d’agrandissement du moment constituent donc une méthode alternative pour vérifier la cohérence et la qualité des estimations du niveau de la fécondité provenant d’autres sources.","",0,"Thomas Spoorenberg; Éric Vilquin","HommeS",2,2010,65,2,"(2000,2010]","notes de recherche et documents",402,"article","2","fr"
"223","les déterminants économiques et non économiques de la migration de retour en thaïlande rurale","Cette note de recherche analyse les déterminants économiques et non économiques des migrations de retour pour 3 021 jeunes originaires de la campagne thaïlandaise. Cette cohorte est suivie de manière prospective pendant 16 ans, de la préadolescence au début de l’âge adulte, à travers trois vagues d’enquêtes en 1984, 1994 et 2000. Les données proviennent du projet Nang Rong, recherche longitudinale sur l’exode rural menée dans une région agricole du Nord-Est de la Thaïlande. Il s’agit, à partir cette étude, d’aller au-delà de la simple dichotomie économique « succès / échec », et d’analyser les facteurs institutionnels non économiques qui déterminent le retour des migrants. Même si on observe un phénomène de sélection négative du capital humain, les liens avec des membres de la famille d’origine (enfants, conjoint, parents) sont également des déterminants clés du retour. Ces facteurs non économiques, liés à l’environnement familial, ont un impact aussi puissant que les déterminants économiques sur la migration de retour.","",0,"Martin Piotrowski; Yuying Tong; Éric Vilquin","HommeS",3,2010,65,2,"(2000,2010]","notes de recherche et documents",403,"article","3","fr"
"224","la démographie de l'océanie des années 1950 aux années 2000","L’Océanie est composée de 17 pays indépendants et 6 territoires, comptant 35 millions d’habitants dont 73 % sont en Australie et Nouvelle-Zélande. Cette chronique retrace les grands changements sociodémographiques et sanitaires survenus depuis les années 1950 dans l’ensemble de la région, les 4 sous-régions qui la composent (Mélanésie, Micronésie, Polynésie et Australie – Nouvelle-Zélande) et, dans la mesure du possible, chaque pays. Une annexe statistique présente, pour chacun, les données récentes les plus fiables. Après une présentation de la diversité géographique, institutionnelle et économique de la région, y sont notamment décrits les croissances, effectifs et structures de la population, la nuptialité, la fécondité et ses déterminants, la mortalité (générale, infantile, maternelle), la santé des enfants, les migrations, l’urbanisation et l’accès à l’éducation. Comme dans les autres régions du monde, les régimes démographiques se diversifient depuis 20 ans. Les croissances naturelles ralentissent, mais varient encore de plus de 20 ‰ à 6 ‰ par an selon les pays. La baisse de la fécondité est générale mais les niveaux sont contrastés (autour de 2 enfants par femme dans six pays, plus de 4 dans sept autres). Les espérances de vie augmentent partout, mais varient actuellement de 61 ans dans la sous-région de Mélanésie à 80 ans en Australie – Nouvelle-Zélande ; la mortalité infantile de 5 ‰ à 50 ‰. L’urbanisation demeure assez faible dans la plupart des pays insulaires. Les migrations ont joué et jouent toujours un grand rôle dans la région, notamment par l’émigration des jeunes adultes. L‘accès à l’éducation se généralise dans une grande majorité des pays.","",0,"Jean-Louis Rallu","HommeS",1,2010,65,1,"(2000,2010]","démographie",405,"article","1","fr"
"225","estimer l'âge sans le mesurer en paléodémographie","Pour estimer la structure par âge au décès des populations du passé, alors qu’ils ne disposent que d’indicateurs biologiques, les paléodémographes ont développé un certain nombre de méthodes, qui s’appuient sur une population de référence pour laquelle indicateurs biologiques et âges au décès sont connus. Nous présentons d’abord ces différentes approches avec leurs hypothèses sous-jacentes, et montrons leurs points faibles. Pour pallier ces inconvénients nous développons une nouvelle méthode statistique qui permet une estimation mieux assurée de la structure des décès par âge. Il s’agit d’une méthode bayésienne dont nous présentons d’abord le principe et l’utilisation pratique : choix de la loi a priori, calcul de la loi a posteriori, intervalles de crédibilité. La comparaison avec les méthodes antérieures, à l’aide de simulations, montre un net avantage de cette approche, que nous appliquons ensuite à des données archéologiques observées. Une vue synthétique des principaux avantages de la méthode proposée, souplesse et efficacité, conclut cet article.","",0,"Henri Caussinus; Daniel Courgeau","HommeS",2,2010,65,1,"(2000,2010]","article",406,"article","2","fr"
"226","évolution de la saisonnalité des naissances en france de 1975 à nos jours","Au cours des trente dernières années, le mouvement saisonnier des naissances a évolué en France de façon progressive, perdant de son amplitude et voyant son mode se déplacer de mai à septembre. Les raisons restent difficiles à déterminer. Cependant, les données exhaustives de l’état civil, couplées aux statistiques de l’avortement, permettent d’expliquer la répartition actuelle des naissances : le « pic » de septembre correspond à un surplus de conceptions le soir du nouvel an. Le mouvement saisonnier laisse toutefois apparaître quelques accidents. Par exemple, les principaux épisodes de canicule survenus depuis 1975 conduisent à une moindre fréquence des accouchements neuf mois plus tard. Quant au creux de naissances observé à la fin de l’été 1975, il pourrait être la conséquence de l’entrée en application de la loi Veil légalisant l’avortement. Mais l’interprétation en reste toutefois prudente, l’effet ayant été de courte durée.","",0,"Arnaud Régnier-Loilier","Homme",1,2010,65,1,"(2000,2010]","article",407,"article","1","fr"
"227","la planification des naissances dans l'année : une réalité peu visible en france","L’une des explications avancées pour rendre compte du surplus de naissances observé en France au printemps dans les années 1970-1980 était la possible planification de la part des couples. Mais les récentes évolutions du mouvement saisonnier, caractérisées par un déplacement de son mode et une diminution de son amplitude, paraissent remettre en cause cette hypothèse. Toutefois, les données de deux enquêtes récentes comportant des questions spécifiques sur le sujet, ainsi que les fichiers de l’état civil, permettent de montrer qu’une fraction non négligeable de couples arrête d’utiliser un moyen contraceptif dans le but d’avoir un enfant à une période précise de l’année. Attrait de la belle saison et raisons professionnelles en sont les principales motivations. La décomposition du mouvement saisonnier selon la profession des femmes laisse apparaître quelques spécificités chez les « agricultrices », « artisans, commerçants et chefs d’entreprise » et, plus particulièrement, chez les institutrices. Celles-ci accouchent majoritairement au printemps, beaucoup plus rarement en juillet et en août, animées par le souhait de cumuler leur congé de maternité avec les vacances d’été.","",0,"Arnaud Régnier-Loilier","Homme",1,2010,65,1,"(2000,2010]","notes de recherche et documents",408,"article","1","fr"
"228","les mort-nés à paris au xixe_siècle : enjeux sociaux, juridiques et médicaux d'une catégorie statistique","Au XIXe siècle, le taux de mortinatalité de Paris dépasse celui du reste de la France, et représente près d’une naissance sur dix en fin de siècle. Ces résultats, fournis par les institutions statistiques, renvoient à la difficile appréhension de la catégorie des mort-nés, située aux frontières de la vie et de la mort, et à la superposition de différents regards sociaux. Après un retour sur la législation de l’Ancien Régime et de la Révolution, l’article montre la confusion qui a régné à partir de 1806 dans la définition des modalités d’enregistrement des mort-nés, en raison des pressions multiples des différents ministères, et qui expriment les visions contradictoires du monde judiciaire et des statisticiens. Cette confusion a longtemps empêché de distinguer les « vrais mort-nés » des « faux mort-nés ». En outre deux facteurs ont à Paris contribué à rehausser le niveau de la mortinatalité : la mise en place précoce dans la capitale de la vérification médicale à domicile des naissances et décès, qui a amélioré l’enregistrement des mort-nés ; la crainte obsessionnelle de l’avortement criminel qui a conduit à un contrôle renforcé des fausses couches et à un enregistrement comme mort-nés d’embryons d’âge gestationnel de plus en plus précoce.","",0,"Vincent Gourdon; Catherine Rollet","MixteS",2,2009,64,4,"(2000,2010]","article",410,"article","2","fr"
"229","homosexualité et bisexualité au sénégal : une réalité multiforme","Les premières enquêtes menées au Sénégal auprès d’hommes ayant des rapports sexuels avec d’autres hommes, dans le cadre de la lutte contre le sida, révèlent des taux élevés de bisexualité. En 2007, une nouvelle enquête épidémiologique et comportementale (ELIHoS) a été réalisée, dans laquelle la question des pratiques bisexuelles a été abordée de façon approfondie. Cette enquête est utilisée ici pour décrire la pluralité de formes que peut recouvrir la bisexualité au Sénégal. Une typologie du pôle d’activité sexuelle actuel en six classes est construite à partir des caractéristiques des partenaires sexuels sur l’année et au moment de l’enquête. Différents éléments de la sociobiographie sexuelle des individus sont ensuite analysés selon leur pôle d’activité sexuelle actuel. Il apparaît que ces pôles correspondent à des pratiques sexuelles et à des caractéristiques différentes d’entrée en vie sexuelle avec un homme. En revanche, l’utilisation systématique d’un préservatif, à pratiques égales, ne dépend pas du pôle d’activité sexuelle. Les hommes engagés dans des relations régulières avec des femmes et ayant des partenaires masculins seulement occasionnellement sont moins souvent infectés par le VIH, car ils ont moins fréquemment des rapports anaux à risque.","",0,"Joseph Larmarange; Annabel Desgrées du Loû; Catherine Enel; Abdoulaye Wade","MixteS",4,2009,64,4,"(2000,2010]","article",411,"article","4+","fr"
"230","instruction des femmes et évolution du mariage en inde","Cet article examine l’influence de l’éducation sur la nuptialité des femmes en Inde, par l’analyse des données longitudinales extraites des recensements. Entre 1981 et 2001, les niveaux d’instruction et l’âge au mariage ont tous deux augmenté. Si les données transversales montrent une association positive entre le niveau de scolarisation et le report du mariage, la modélisation des données longitudinales indique que l’impact de l’instruction sur le calendrier du mariage est assez limité, surtout pendant la période 1981-1991 ; il est néanmoins significatif, bien que modeste, entre 1991 et 2001. Selon les résultats de cette étude, l’association entre éducation et nuptialité mise en évidence par l’analyse des données transversales pourrait être due à des facteurs non observés qui influencent à la fois la scolarisation et le mariage. En fait, l’évolution à long terme de l’âge au mariage a un effet plus déterminant que celle du niveau d’instruction sur la nuptialité des femmes avant 20 ans. Et la modélisation avec variables instrumentales indique que l’éducation et la nuptialité ne sont pas interdépendantes : les progrès des niveaux de scolarisation sont largement indépendants de l’évolution de l’âge au mariage.","",0,"Premchand Dommaraju","Homme",1,2009,64,4,"(2000,2010]","article",412,"article","1","fr"
"231","l'évolution de la mobilité résidentielle en france entre 1973 et 2006 : nouvelles estimations","Cette note de recherche retrace l’évolution annuelle de la mobilité résidentielle française de la fin des trente glorieuses à 2006. Pour cela, deux méthodes différentes d’estimation sont mises en œuvre : le modèle migrantsmigrations de Daniel Courgeau, les évaluations directes corrigées grâce aux séries des enquêtes Logement puis des enquêtes Emploi. Les résultats de ces estimations sont ensuite comparés à ceux déjà publiés dans la littérature française par différents auteurs à partir du modèle migrants-migrations. La mobilité résidentielle a baissé entre 1973 et 1984 avant d’atteindre le pic de la période étudiée en 1999, pour décroître ensuite et se stabiliser, au moins momentanément, à un niveau élevé. Depuis le début des années 1980, la progression de la mobilité en niveau est principalement due aux mobilités de proximité, qu’il s’agisse de changements de logement ou de commune. Ce résultat suggère que les transformations de la famille intervenues au cours de la période ont eu un impact plus important que les mobilités professionnelles.","",0,"Nathalie Donzeau; Jean-Louis Pan Ké Shon","MixteS",2,2009,64,4,"(2000,2010]","notes de recherche et documents",413,"article","2","fr"
"232","estimations des migrations répétées et des migrations de retour dans des sous-populations en france","Parmi les personnes ayant effectué une migration interne, beaucoup déménagent de nouveau à plus ou moins brève échéance ; souvent, ces nouvelles migrations ramènent le migrant à sa localisation antérieure. Ces phénomènes, bien connus, sont étudiés ici grâce à une source administrative française, le panel tiré des Déclarations annuelles de données sociales (DADS). Des statistiques descriptives portant sur les migrations entre 25 et 35 ans des générations nées en 1966, 1968 et 1970 mettent en évidence les principales caractéristiques des migrations de rangs successifs. À l’aide d’un modèle du type « migrants-sédentaires » on estime des parts de population soumise au risque de migration ou de nouvelle migration, et des probabilités de survenue des différents types de mouvements parmi les personnes soumises au risque. Les comportements de migration répétée et de migration de retour apparaissent fortement variables selon les générations et, à l’intérieur d’une même génération, selon les catégories de population. Cette variabilité doit être prise en compte dans l’application de la relation entre nombres de migrants et nombres de migrations proposée par Daniel Courgeau en 1973, et utilisée depuis pour établir des séries de taux de mobilité interne à partir des recensements de population.","",0,"Jean-François Royer","Homme",1,2009,64,4,"(2000,2010]","notes de recherche et documents",414,"article","1","fr"
"233","l'évolution démographique récente en france : dix ans pour le pacs, plus d'un million de contractants","La population de la France métropolitaine est estimée à 63,2 millions d’habitants au 1er janvier 2009. L’accroissement total est encore largement positif en 2008 et presque identique à celui de l’année 2007, l’augmentation des naissances étant en partie compensée par celle des décès. Le nombre d’étrangers admis à séjourner a diminué en 2007 un peu plus nettement que les deux années précédentes. L’indicateur conjoncturel de fécondité est estimé à 2 enfants par femme en 2008, niveau proche de la descendance finale de la génération 1970. Les avortements sont stables mais leur fréquence augmente légèrement chez les femmes les plus jeunes. Le nombre de pacs signés en 2008 a encore augmenté, pour les couples de même sexe comme pour les couples de sexe différent. Les mariages sont en légère baisse, la probabilité de mariage des célibataires n’ayant jamais été aussi basse. Les divorces prononcés en 2008 sont majoritairement des divorces par consentement mutuel. L’espérance de vie à la naissance des hommes a légèrement augmenté (+ 0,14 an) et celle des femmes n’a pas progressé (– 0,06 an).","",0,"France Prioux; Magali Mazuy","FemmeS",2,2009,64,3,"(2000,2010]","la conjoncture démographique",416,"article","2","fr"
"234","évolution du recours à l'interruption volontaire de grossesse en france entre 1990 et 2005","La loi autorisant l’avortement depuis 1975 en France a été modifiée en 2001 dans le but de faciliter l’accès des femmes aux services d’interruption volontaire de grossesse (IVG), en particulier par l’augmentation de deux semaines de la durée de gestation maximale autorisée. Les données provenant des bulletins d’IVG permettent d’étudier l’impact de ces modifications législatives, en utilisant la durée de gestation au moment de l’IVG comme indicateur des difficultés d’accès à ce service. Par ailleurs, la loi autorise la contraception médicalisée depuis 1967 en France ; la diminution des grossesses non prévues et des IVG jusqu’au milieu des années 1990 est attribuable au succès de la diffusion de ces méthodes dans les années 1970 et 1980. Le recours à l’avortement reste cependant élevé en France par rapport aux autres pays d’Europe de l’Ouest. Cela pose la question de la persistance ou de la recrudescence des grossesses non prévues chez les femmes les plus jeunes et celle du recours répété à l’avortement au cours de la vie de certaines femmes.","",0,"Clémentine Rossier; Laurent Toulemon; France Prioux","MixteS",3,2009,64,3,"(2000,2010]","la conjoncture démographique",417,"article","3","fr"
"235","natalisme et hygiénisme en france de 1900 à 1940","Quelle est la nature des liens entre les critères de quantité et de qualité des politiques de population ? La lutte contre « les fléaux sociaux » en France entre 1900 et 1940 constitue un cas particulièrement intéressant qui met à jour la complexité des argumentaires mobilisés dans les politiques démographiques. Parmi ces fléaux, la lutte antivénérienne constitue un cas paroxystique lié aux représentations des maladies sexuellement transmissibles. Honteuses donc tues, elles souffrent d’un manque de visibilité sur la scène publique, alors que la dépopulation menace. Les questions de qualité et de quantité de population se cristallisent alors autour de la productivité du mariage. Un réseau de médecins entreprend d’éduquer la population sur les risques vénériens et leurs enjeux démographiques et familiaux. Le contenu de la propagande, notamment les films antivénériens, ne laisse aucun doute sur la place du natalisme dans l’éducation sanitaire.","",0,"Virginie De Luca Barrusse","Femme",1,2009,64,3,"(2000,2010]","article",418,"article","1","fr"
"236","les scolarités des enfants d'immigrés de la sixième au baccalauréat : différenciation et polarisation des parcours","Les inégalités d’éducation selon les origines migratoires et sociales sont analysées en examinant les performances à l’entrée et à la fin des années de collège, les orientations au lycée, puis les diplômes obtenus, à partir du panel des élèves entrés en 6e en 1995 en France. Les inégalités des enfants d’immigrés se forment dès l’école primaire, mais ne se creusent pas ultérieurement. Considérant les données de façon tantôt absolue, tantôt relative, les difficultés scolaires de ces enfants se trouvent confirmées, et plus pour les garçons que les filles. En revanche est soulignée la relative proximité entre ces jeunes et leurs condisciples français d’origine de même milieu socioprofessionnel. Les sorties sans diplôme des enfants d’immigrés résultent des échecs aux examens chez les jeunes d’origine maghrébine, à la différence des jeunes d’origine portugaise qui accèdent au marché du travail. Si plus de la moitié des élèves de la cohorte obtiennent un baccalauréat, il s’agit plutôt d’un baccalauréat technologique ou professionnel. Les écarts de réussite selon le genre sont plus élevés parmi les jeunes issus de l’immigration. On observe ainsi une différenciation des parcours selon l’origine et une polarisation sexuée.","",0,"Yaël Brinbaum; Annick Kieffer","MixteS",2,2009,64,3,"(2000,2010]","article",419,"article","2","fr"
"237","pertes et changements de filiation chez les enfants nés en france depuis les années 1960","Une enquête réalisée par l’Ined en 1997 à partir des registres d’état civil, complétée par des statistiques judiciaires sur la période récente, a permis de retracer l’évolution des pertes de la filiation paternelle et de la double filiation depuis les années 1960 en France. Les profondes transformations conjugales survenues au cours de cette période ne se sont pas accompagnées d’une plus grande instabilité du lien de filiation, au contraire les enfants souffrent moins souvent de la rupture de ce lien qu’il y a trente ou quarante ans. Cette plus grande stabilité bénéficie surtout aux enfants nés hors mariage, jadis les plus affectés par les ruptures de filiation, ainsi qu’à ceux nés dans le mariage, pour lesquels ces ruptures ont aujourd’hui quasiment disparu. Bon nombre d’enfants ayant perdu leur filiation paternelle ont bénéficié d’une deuxième filiation, en particulier lorsque l’enfant est né dans le mariage. L’immense majorité de ceux qui ont perdu leur double filiation en bénéficient à nouveau, qu’ils soient nés hors ou dans le mariage.","",0,"Francisco Munoz-Pérez","Homme",1,2009,64,3,"(2000,2010]","article",420,"article","1","fr"
"238","l'augmentation de l'activité des femmes en europe : progrès de la conciliation ou polarisation des comportements ?","L’évolution des situations d’activité des femmes de 1992 à 2005 est analysée à partir des Enquêtes européennes sur les forces de travail. Ces situations sont modélisées pour rendre compte des effets propres à la présence d’enfant(s), l’âge du plus jeune et l’âge de la mère à la naissance du premier, ou la présence d’un conjoint sur l’emploi et le temps de travail des femmes, ainsi que leurs évolutions. Certains pays ont connu des évolutions qui remettent en question la cartographie proposée par les typologies standards des années 1990. La croissance des taux d’activité féminine est partiellement due à la réduction de la taille des familles ; mais l’activité des femmes s’est aussi développée à dimension donnée des ménages. Cette augmentation semble aller de pair, dans certains pays, avec le fait d’avoir des enfants uniquement si leur naissance peut être conciliée avec l’emploi. On trouve des indices reflétant cette situation en Allemagne, en Espagne, aux Pays-Bas et au Portugal où les aides à la conciliation demeurent limitées. Par contre, une réduction moins forte de la taille des familles a été observée en Belgique, en France et au Royaume-Uni où le contexte est plus favorable à la conciliation entre travail et enfants.","",0,"Olivier Thévenon","Homme",1,2009,64,2,"(2000,2010]","",422,"","1","fr"
"239","trente ans d'étude de la maladie de rendu-osler en france : démographie historique, génétique des populations et biologie moléculaire","La maladie de Rendu-Osler est une génopathie héréditaire qui a fait l’objet de plusieurs études interdisciplinaires au fil des trois dernières décennies. Une enquête épidémiologique menée dans les années 1980 a d’abord permis d’en établir la prévalence en France à un niveau nettement plus élevé que ce qui était alors admis, et de pointer l’existence de zones de forte concentration. L’étude généalogique et l’étude de démographie historique qui ont suivi, centrées sur le principal pôle de concentration, n’ont pas permis de prouver la théorie d’un effet fondateur unique à l’échelle nationale, mais d’émettre des hypothèses quant à la date d’apparition d’une mutation locale. Enfin, l’identification, au cours des dernières années, des gènes responsables de cette maladie a permis d’en établir la grande hétérogénéité génétique et d’identifier un grand nombre de mutations différentes présentes sur le territoire français. Toutefois, de nombreux malades résidant dans le principal pôle de concentration étudié précédemment partagent une mutation unique associée à un haplotype spécifique. Au terme de cette étude, exceptionnelle par son aspect interdisciplinaire et sa durée, les différentes démarches convergent pour affirmer l’existence d’un effet fondateur local, et s’accordent sur une datation approximative de cette mutation.","",0,"Guy Brunet; Gaëtan Lesca; Emmanuelle Génin; Sophie Dupuis-Girod; Alain Bideau; Henri Plauchu","MixteS",6,2009,64,2,"(2000,2010]","",423,"","4+","fr"
"240","compléter les histoires de vie par imputation des dates de sortie d'observation une méthode adaptée aux données historiques","Les biographies sont souvent construites à partir de sources administratives et d’autres documents qui témoignent d’événements particuliers comme une naissance, un décès, une visite chez le médecin, une demande de contrat d’assurance ou le recours à un service. Dans un système d’« enregistrement passif », les individus ne sont pas observés de façon continue, mais lorsqu’un événement se produit. Quand une personne quitte la zone couverte par le système d’enregistrement sans en faire la déclaration, la date d’interruption de son histoire de vie reste inconnue. Cet article présente une nouvelle technique d’imputation des dates de sortie manquantes. Les informations concernant d’autres événements (naissances, mariages, décès…) qui touchent l’individu ou ses proches sont utilisées pour estimer la distribution des durées écoulées entre le dernier événement enregistré et la sortie (non observée) de la zone étudiée. Sont ici prises en compte les différences d’âge, de sexe, de situation matrimoniale et de passé migratoire. La méthode est ensuite testée sur un ensemble de données belges du XIXe siècle où figurent explicitement les dates de sortie d’observation.","",0,"George Alter; Isabelle Devos; Alison Kvetko","MixteS",3,2009,64,2,"(2000,2010]","",424,"","3","fr"
"241","réception de l'œuvre démographique de lotka en france","Bien que Lotka ait publié son article fondateur sur la démographie dès 1907, il est découvert par les statisticiens français s’intéressant aux questions de population seulement en 1931. C’est Raoul Husson qui le fait alors connaître, à l’occasion de la publication d’une étude sur l’accroissement comparé de la population en France et à l’étranger. C’est aux notions de population stable et de taux intrinsèque d’accroissement qu’il est le plus souvent fait référence, en particulier dans le Journal de la Société de statistique de Paris. Les travaux de Dublin et Lotka sur la santé et la mortalité sont connus notamment à propos des États-Unis. La deuxième partie de la Théorie analytique des associations biologiques, parue en français en 1939, devient très vite le texte de référence pour tous ceux qui abordent le champ de « l’analyse démographique ». Adolphe Landry contribue à la popularisation des travaux de Lotka, et c’est Paul Vincent qui reconnaît le plus explicitement sa dette intellectuelle envers le démographe mathématicien. Les relations entre Lotka et les statisticiens français ne cessent de se renforcer de son vivant, tant pour les qualités scientifiques du démographe américain que ses qualités humaines.","",0,"Jacques Véron","HommeS",1,2009,64,2,"(2000,2010]","",425,"","1","fr"
"242","contrôle social et transmission intergénérationnelle de l'âge au mariage en hollande rurale de 1850 à 1940","Cet article étudie la transmission intergénérationnelle de l’âge au premier mariage de mère en fille en Hollande-du-Nord rurale, entre 1850 et 1940, avant et pendant les premières étapes de transition de la fécondité. À partir d’une base de données détaillée, complétée par la reconstitution des familles des filles émigrées dans les autres provinces, des modèles multiniveaux sont utilisés pour analyser l’effet des caractéristiques familiales des mères sur l’âge au premier mariage des filles. Les résultats montrent une transmission intergénérationnelle de cet âge, mais son effet varie selon la classe sociale et l’appartenance religieuse. On l’observe dans la classe ouvrière et la classe moyenne et supérieure, mais il est quasiment inexistant chez les agriculteurs ; il est très marqué parmi les protestants, mais faible chez les catholiques. La transmission familiale des comportements de fécondité semble plus importante dans les environnements caractérisés par une moindre pression sociale et des décisions plus individualisées.","",0,"Jan Van Bavel; Jan Kok","HommeS",2,2009,64,2,"(2000,2010]","",426,"","2","fr"
"243","l'estimation des « fausses migrations » en espagne","Parallèlement aux sources statistiques espagnoles classiques telles que les recensements et les enquêtes, l’Estadística de Variaciones Residenciales (Statistique des changements de domicile) est utilisée pour étudier les migrations des habitants, qu’ils résident légalement ou pas dans le pays. Cette source, liée aux Registres municipaux de population, constitue un enregistrement systématiquement mis à jour des migrations intercommunales de la population, et permet ainsi de reconstituer les parcours migratoires individuels. Malgré les récentes tentatives d’amélioration de sa qualité, elle peut toutefois fournir une vision biaisée des migrations, car rien ne garantit que tous ces enregistrements représentent des migrations réelles. Par la reconstitution des parcours migratoires de la population résidente, cet article évalue l’ampleur du phénomène des « fausses migrations » en Espagne entre 2003 et 2005.","",0,"Carmen Ródenas Calatayud; Mónica Martí Sempere","FemmeS",2,2009,64,2,"(2000,2010]","",427,"","2","fr"
"244","la démographie de l'asie de l'est et du sud-est des années 1950 aux années 2000","Avec ses 2,1 milliards d’habitants, l’Asie de l’Est et du Sud-Est rassemble le tiers de la population mondiale, notamment du fait de la présence de la Chine, pays le plus peuplé du monde, qui compte à elle seule 1,3 milliard d’habitants. Cette chronique propose à la fois une synthèse des grandes évolutions sociodémographiques et sanitaires depuis les années 1950 et un bilan statistique rassemblant les données récentes les plus fiables sur chaque pays. Y sont notamment examinés les effectifs et les structures de la population, la fécondité et ses variables intermédiaires, la nuptialité, la mortalité et la santé, les migrations internationales, l’urbanisation et l’accès à l’éducation. La région se distingue particulièrement par des progrès extraordinairement rapides réalisés tant dans le domaine de la lutte contre la mortalité que dans celui de la maîtrise de la fécondité. L’espérance de vie à la naissance est ainsi passée de 40 à 70 ans depuis le début des années 1950 et, grâce à des programmes de planification familiale souvent très interventionnistes mis en œuvre dans quelques pays, la fécondité est aujourd’hui, dans l’ensemble de la région, inférieure au seuil de remplacement des générations. Cette évolution conduit à de nouveaux défis démographiques dont les plus immédiats sont le vieillissement de la population, la réorientation des flux migratoires et, dans certains pays, un déséquilibre de la structure par sexe lié au recours massif aux avortements sélectifs.","",0,"Isabelle Attané; Magali Barbieri","FemmeS",2,2009,64,1,"(2000,2010]","",429,"","2","fr"
"245","des causes aux conséquences du divorce : histoire critique d'un champ d'analyse et principales orientations de recherche en france","L’article présente une histoire critique de la constitution du divorce comme objet d’étude sociologique et rend compte des principales orientations actuelles de recherche en France dans ce domaine. Sensible au contexte politique dans lequel elle s’est développée, la sociologie du divorce a longtemps été influencée par des considérations idéologiques, comme en témoigne l’opposition de Durkheim au rétablissement du divorce par consentement mutuel. L’étude sociologique du divorce prend véritablement son essor lors de la refonte du Code civil à la fin des années 1960, alors que se constitue derrière le doyen Carbonnier une équipe de recherche interdisciplinaire chargée de faire progresser la connaissance de la divortialité des Français. La démographie quantitative occupe alors une place centrale dans les recherches. À partir des années 1980, face à la banalisation du divorce dans la société française mais aussi devant le développement des unions sans mariage et des séparations sans divorce, la sociologie du couple connaît un tournant à la fois théorique, méthodologique et épistémologique. Elle se consacre dès lors quasi exclusivement à l’après-divorce, délaissant les causes et les processus de rupture. Une rapide comparaison internationale montre que l’analyse causale et statistique du divorce reste, au contraire, très présente à l’étranger.","",0,"Anne Lambert","Femme",1,2009,64,1,"(2000,2010]","",430,"","1","fr"
